核心指標,全問卷比對特徵,相關強度 (Cramer's V),原始 p-value
SafetyConcernsAtSchool,PhysicalFighting,0.08452891088544351,3.8205573681291e-16
SafetyConcernsAtSchool,RaceEth,0.0822636751864428,4.0550898752177e-15
SafetyConcernsAtSchool,WhatIsYourRace,0.07785314049394802,0.0002735343702014656
SafetyConcernsAtSchool,AreYouHispanicOrLatino,0.07520235015269193,8.524869514261344e-17
SafetyConcernsAtSchool,ConsideredSuicide,0.06766536314376671,5.389326105808803e-14
SafetyConcernsAtSchool,HowTallAreYouWithoutShoesInMeters,0.06512020102357212,0.03447525301636168
SafetyConcernsAtSchool,EverHeroinUse,0.06508199723229613,4.5302266123585055e-10
SafetyConcernsAtSchool,IllegalInjectedDrugUse,0.064260081644104,8.075837930861211e-12
SafetyConcernsAtSchool,PotatoEating,0.06360238819550795,4.6672490530174206e-09
SafetyConcernsAtSchool,InjuredIFight,0.0628593986647108,7.673293225205998e-10
SafetyConcernsAtSchool,MadeASuicidePlan,0.06268583557895016,3.4002151454017327e-12
SafetyConcernsAtSchool,CarrotEating,0.06250886661213653,1.0260925513607064e-08
SafetyConcernsAtSchool,TaughtAboutHIV,0.0595651382879374,3.245378011734181e-10
SafetyConcernsAtSchool,FastingToLoseWeight,0.059137499956004404,4.589446910452427e-11
SafetyConcernsAtSchool,MarijuaOnSchoolProperty,0.058914088768566374,4.450167959354629e-08
SafetyConcernsAtSchool,DietPillsToLoseWeight,0.058684548248209366,6.435606439741993e-11
SafetyConcernsAtSchool,EverMethamphetamineUse,0.05798697838086103,7.297158421540932e-08
SafetyConcernsAtSchool,BoyfriendGirlfriendPhysicallyHurt,0.05697540797255106,2.3767395382215654e-10
SafetyConcernsAtSchool,GreenSaladEating,0.05689996154633591,4.5206414128704313e-07
SafetyConcernsAtSchool,SeatBeltUse,0.055800619197168846,8.612318813965866e-08
SafetyConcernsAtSchool,PhysicalActivity5OrMoreDays,0.05498620224111739,4.207161733392267e-06
SafetyConcernsAtSchool,RidingWithADrinkingDriver,0.05497095581802919,1.5021475174487248e-07
SafetyConcernsAtSchool,PEAttendance,0.05122441609698903,5.317976544542894e-06
SafetyConcernsAtSchool,NoerobicExercise,0.04731302539498841,0.0005186355074221317
SafetyConcernsAtSchool,LaxativesToLoseWeight,0.047130496674237105,1.5462936299318958e-07
SafetyConcernsAtSchool,InjuredWhileExercising,0.046510130724813324,4.0854821649384416e-06
SafetyConcernsAtSchool,CurrentSexualActivity,0.04628596720022254,0.0006696201144693458
SafetyConcernsAtSchool,GunCarryingPast12Mos,0.046037171753824345,3.6441753686895757e-05
SafetyConcernsAtSchool,HowOldAreYou,0.04520170414505977,0.0003093547302201936
SafetyConcernsAtSchool,EverInhalantUse,0.04501698354673381,0.000136274975010305
SafetyConcernsAtSchool,BirthControlPillUse,0.04491991129215053,0.0013811238274389005
SafetyConcernsAtSchool,EverEcstasyUse,0.04483980696980322,0.00014953157037877446
SafetyConcernsAtSchool,MinutesInPEPlayingSports,0.044495921766211956,0.0019089771311156607
SafetyConcernsAtSchool,MultipleSexPartners,0.04447152234758894,0.0006916802389473472
SafetyConcernsAtSchool,EverSteriodUse,0.04404898938295444,0.00021713818572399688
SafetyConcernsAtSchool,SourceOfAlcohol,0.04280966320687253,0.003649222842421574
SafetyConcernsAtSchool,DrinkAlcoholOnSchoolProperty,0.042019608187405584,0.001391525736516479
SafetyConcernsAtSchool,CocaineUsePast30Days,0.042005094838653965,0.0005804803651783626
SafetyConcernsAtSchool,NoSodaDrinking,0.041593154007586855,0.0015655752910781913
SafetyConcernsAtSchool,IllegalDrugsAtSchool,0.04069037477897506,6.053667707605741e-06
SafetyConcernsAtSchool,StillHaveAsthma,0.03954883185087787,0.00025104609249448575
SafetyConcernsAtSchool,WeightLoss,0.03917200526608063,0.00027107575402504294
SafetyConcernsAtSchool,OtherVegetableEating,0.03887590022205639,0.004739415376662343
SafetyConcernsAtSchool,UsedMotorcycleHelmet,0.03675742813494787,0.00905288111047488
SafetyConcernsAtSchool,CurrentBingeDrinking5OrMore,0.03662909860595087,0.012134099888273764
SafetyConcernsAtSchool,ComputerUse,0.036416569925430714,0.012142896171212343
SafetyConcernsAtSchool,HealthInGeneral,0.03615371886708786,0.004722577697822481
SafetyConcernsAtSchool,ForcedSexualIntercourse,0.03588823299898321,6.696317453983929e-05
SafetyConcernsAtSchool,TelevisionWatching,0.035586399213104705,0.016160515166130977
SafetyConcernsAtSchool,InitiationOfAlcoholUse,0.03506932077078049,0.019510081185155757
SafetyConcernsAtSchool,InWhatGradeAreYou,0.034918774137913895,0.00459600018383507
SafetyConcernsAtSchool,AlcoholDrugsAndSex,0.034807804925882306,0.0007847394947340829
SafetyConcernsAtSchool,Sleep,0.03431978770123665,0.03580473708180326
SafetyConcernsAtSchool,FruitEating,0.034093741060073186,0.025680591478595485
SafetyConcernsAtSchool,EverCigaretteUse,0.03402462341293791,0.00017340610894896397
SafetyConcernsAtSchool,CurrentMarijuaUse,0.03399660485096076,0.014690586721227172
SafetyConcernsAtSchool,CurrentSmokelessTobaccoOnSchoolProperty,0.03392075236133879,0.028616947551709633
SafetyConcernsAtSchool,BicyleHelmetUse,0.03384429985266282,0.01628081683724446
SafetyConcernsAtSchool,CurrentAlcoholUse,0.0336031897175772,0.045048296921727835
SafetyConcernsAtSchool,FirstSexualIntercourse,0.033174173122643175,0.07185502408957332
SafetyConcernsAtSchool,CondomUse,0.03310430004811635,0.0016752284568211917
SafetyConcernsAtSchool,FruitJuiceDrinking,0.03202156815936698,0.0482839613949172
SafetyConcernsAtSchool,EverUsedLSD,0.03085117707136849,0.051627928748000255
SafetyConcernsAtSchool,DrinkingAndDriving,0.029664448741401644,0.029710987706993146
SafetyConcernsAtSchool,EverCocaineUse,0.02894559221535262,0.06643261468235682
SafetyConcernsAtSchool,EverSexualIntercourse,0.028600648802697158,0.0018610082227923882
SafetyConcernsAtSchool,CurrentSmokelessTobaccoUse,0.02824945298374911,0.13448459509818197
SafetyConcernsAtSchool,HIVTesting,0.028146695196362932,0.010569170752724386
SafetyConcernsAtSchool,CurrentCigarUse,0.027938479540665827,0.1433509628570989
SafetyConcernsAtSchool,SmokeOnSchoolProperty,0.02677315807836674,0.18551536952555353
SafetyConcernsAtSchool,ConsumeFewerCaloriesToLoseWeight,0.02650526296093396,0.0031696540491590484
SafetyConcernsAtSchool,WeaponCarrying,0.025708095424277284,0.08943748283281261
SafetyConcernsAtSchool,ExerciseToLoseWeight,0.025012863102325915,0.0053587081586302905
SafetyConcernsAtSchool,EverAlcoholUse,0.024469453340818268,0.3033817862399596
SafetyConcernsAtSchool,InitiationOfMarijuaUse,0.023921773969354656,0.31907210647618495
SafetyConcernsAtSchool,InitiationSmokingWholeCigarette,0.023422154534314076,0.3590785510182278
SafetyConcernsAtSchool,EverSmokingCessation,0.022613464444518963,0.0470423580665686
SafetyConcernsAtSchool,SmokedMoreThan10Cigarettes,0.02254333774156731,0.4190656316558352
SafetyConcernsAtSchool,HowObtainedCigarettes,0.02251225807098438,0.5385632727968169
SafetyConcernsAtSchool,EverMarijuaUse,0.02247520923799503,0.4043942844382474
SafetyConcernsAtSchool,Asthma,0.02237913772768535,0.04608240088127443
SafetyConcernsAtSchool,PerceptionOfWeight,0.02203655691650334,0.1977599240379256
SafetyConcernsAtSchool,WhatIsYourSex,0.019879126089155225,0.02695166258461231
SafetyConcernsAtSchool,NoMilkDrinking,0.019652288597622677,0.5822384599658323
SafetyConcernsAtSchool,CurrentCigaretteUse,0.019165248268411216,0.6279426271163957
SafetyConcernsAtSchool,AerobicExercise,0.016662248710089717,0.8640184480066987
SafetyConcernsAtSchool,SunscreenUse,0.016311250367476236,0.5492156785534346
SafetyConcernsAtSchool,CDC_BMI_Group,0.015177508205261132,0.4447459793047839
SafetyConcernsAtSchool,SunProtection,0.008481914632274833,0.9353836934466415
SafetyConcernsAtSchool,SportsTeamParticipation,0.006658995369550321,0.909344564384103
SafetyConcernsAtSchool,EverSmokedDailyFor30Days,0.0031175652415098287,0.7305752297477603
WeaponCarryingAtSchool,BMIPCT,0.7195016823914069,0.00027133379654671944
WeaponCarryingAtSchool,WeaponCarrying,0.3230644159654452,6.577353648878363e-272
WeaponCarryingAtSchool,HowMuchDoYouWeighWithoutShoesInKG,0.16577365613028458,0.0002083739966318398
WeaponCarryingAtSchool,PhysicalFighting,0.14993673152424153,7.120608562994141e-55
WeaponCarryingAtSchool,DrinkAlcoholOnSchoolProperty,0.14405825118028917,3.707120003405295e-52
WeaponCarryingAtSchool,GunCarryingPast12Mos,0.1369424036906175,2.157005540567173e-47
WeaponCarryingAtSchool,WereThreatenedOrInjuredWithAWeaponOnSchoolProperty,0.13146229962451564,5.826930124283172e-42
WeaponCarryingAtSchool,InitiationOfMarijuaUse,0.11785981533026672,1.3791898881217747e-33
WeaponCarryingAtSchool,EverMethamphetamineUse,0.11589790443122797,1.8615980062947728e-33
WeaponCarryingAtSchool,CocaineUsePast30Days,0.11576945770859474,2.4222042203481942e-33
WeaponCarryingAtSchool,MarijuaOnSchoolProperty,0.11478916474396307,1.419714857103686e-32
WeaponCarryingAtSchool,InjuredIFight,0.11374273351592451,9.88720392204518e-33
WeaponCarryingAtSchool,DrinkingAndDriving,0.11267982311235963,5.852997419645009e-32
WeaponCarryingAtSchool,SmokeOnSchoolProperty,0.11230578051132548,2.3630752415064996e-30
WeaponCarryingAtSchool,EverInhalantUse,0.11073307573378138,1.9391164853589194e-30
WeaponCarryingAtSchool,StolenOrDamagedYourProperty,0.11050817595399617,7.028216643031027e-29
WeaponCarryingAtSchool,InitiationSmokingWholeCigarette,0.10855319671546414,1.1349395889869934e-27
WeaponCarryingAtSchool,EverMarijuaUse,0.10759676961348026,1.4681602356110789e-27
WeaponCarryingAtSchool,InitiationOfAlcoholUse,0.10609066343207108,6.928439436882497e-27
WeaponCarryingAtSchool,IllegalInjectedDrugUse,0.10534223538681388,4.4678381755575874e-30
WeaponCarryingAtSchool,FirstSexualIntercourse,0.10499638456506191,1.4618336723340246e-24
WeaponCarryingAtSchool,RidingWithADrinkingDriver,0.10478569608581233,6.114599580662744e-28
WeaponCarryingAtSchool,EverCocaineUse,0.10380171538291504,1.579989490582798e-26
WeaponCarryingAtSchool,EverSteriodUse,0.10131950153473188,2.7027552135998065e-25
WeaponCarryingAtSchool,CurrentAlcoholUse,0.10088837191992996,2.5802828205859226e-22
WeaponCarryingAtSchool,EverEcstasyUse,0.09881166437963486,5.701148593180108e-24
WeaponCarryingAtSchool,SourceOfAlcohol,0.0970717830441838,4.4658223762518203e-20
WeaponCarryingAtSchool,EverUsedLSD,0.09606969992330479,4.717984928415324e-21
WeaponCarryingAtSchool,CurrentMarijuaUse,0.09377992046764225,2.815212779585875e-21
WeaponCarryingAtSchool,IllegalDrugsAtSchool,0.09208077761550408,3.035290880675955e-24
WeaponCarryingAtSchool,AttemptedSuicide,0.09167492329047669,3.3871461116928362e-19
WeaponCarryingAtSchool,HowObtainedCigarettes,0.0907935475166354,6.038933527675291e-18
WeaponCarryingAtSchool,CurrentBingeDrinking5OrMore,0.08989018757291627,1.1653829839051e-18
WeaponCarryingAtSchool,AlcoholDrugsAndSex,0.08870249477389389,1.4241680809432154e-20
WeaponCarryingAtSchool,CurrentSexualActivity,0.08760958252280941,1.796014436516202e-16
WeaponCarryingAtSchool,EverHeroinUse,0.08539060505481287,1.2238496086990369e-17
WeaponCarryingAtSchool,CurrentCigarUse,0.08356214904816,4.2527694014434443e-16
WeaponCarryingAtSchool,EverAlcoholUse,0.08216612392924458,3.756621692843835e-15
WeaponCarryingAtSchool,InjuriousSuicide,0.07941888748644332,8.952036364561623e-16
WeaponCarryingAtSchool,SmokedMoreThan10Cigarettes,0.07888813001811998,1.050101611390128e-13
WeaponCarryingAtSchool,BirthControlPillUse,0.07832557216530968,1.2311648342203154e-12
WeaponCarryingAtSchool,UsedMotorcycleHelmet,0.07830483136139343,2.0147684945633965e-13
WeaponCarryingAtSchool,CurrentCigaretteUse,0.07800909492599722,2.280341577921735e-13
WeaponCarryingAtSchool,MultipleSexPartners,0.07488598215067258,4.100667164293218e-12
WeaponCarryingAtSchool,SeatBeltUse,0.07168366240822234,8.023375491577601e-13
WeaponCarryingAtSchool,EverSmokingCessation,0.07159778949593555,7.710764336298687e-14
WeaponCarryingAtSchool,WhatIsYourRace,0.07092857855711696,0.004992927077155084
WeaponCarryingAtSchool,EverCigaretteUse,0.06848248387016247,6.489008698084255e-14
WeaponCarryingAtSchool,CondomUse,0.06815648525186296,2.673050908904784e-12
WeaponCarryingAtSchool,ForcedSexualIntercourse,0.06782732857004578,7.584864719293382e-14
WeaponCarryingAtSchool,ConsideredSuicide,0.06548376759183566,5.080451986880023e-13
WeaponCarryingAtSchool,MadeASuicidePlan,0.06393543726469557,1.8495141493463737e-12
WeaponCarryingAtSchool,HowTallAreYouWithoutShoesInMeters,0.06386788729199641,0.059461197610436736
WeaponCarryingAtSchool,CurrentSmokelessTobaccoOnSchoolProperty,0.06358624214311023,8.230968769730681e-09
WeaponCarryingAtSchool,SadOrHopeless,0.06348932064985797,2.534046205810531e-12
WeaponCarryingAtSchool,EverSexualIntercourse,0.06275508396969345,1.2597361851650053e-11
WeaponCarryingAtSchool,BoyfriendGirlfriendPhysicallyHurt,0.05997562296211262,3.6407884937880016e-11
WeaponCarryingAtSchool,CurrentSmokelessTobaccoUse,0.0585398943625852,2.46748122934599e-07
WeaponCarryingAtSchool,WhatIsYourSex,0.05549535449517252,8.904456749437379e-10
WeaponCarryingAtSchool,Sleep,0.055109667404534136,5.892982916931431e-06
WeaponCarryingAtSchool,RaceEth,0.0525257819594627,2.4632960499666948e-05
WeaponCarryingAtSchool,BicyleHelmetUse,0.052201243425045306,4.515043188804812e-06
